number of cases - daily,,
תאריך,מספר מאומתים חדשים,ממוצע נע 7
12-02-2020,0,7
13-02-2020,0,3
14-02-2020,0,2
15-02-2020,0,1
16-02-2020,0,1
17-02-2020,0,1
18-02-2020,0,1
19-02-2020,0,0
20-02-2020,0,0
21-02-2020,1,0
22-02-2020,0,0
23-02-2020,0,0
24-02-2020,1,0
25-02-2020,0,0
26-02-2020,0,0
27-02-2020,1,0
28-02-2020,3,0
29-02-2020,0,0
01-03-2020,1,0
02-03-2020,5,0
03-03-2020,3,1
04-03-2020,0,1
05-03-2020,2,1
06-03-2020,4,2
07-03-2020,4,2
08-03-2020,9,2
09-03-2020,4,3
10-03-2020,33,3
11-03-2020,19,8
12-03-2020,22,10
13-03-2020,35,13
14-03-2020,29,18
15-03-2020,39,21
16-03-2020,73,25
17-03-2020,94,35
18-03-2020,118,44
19-03-2020,136,58
20-03-2020,168,74
21-03-2020,210,93
22-03-2020,254,119
23-03-2020,352,150
24-03-2020,423,190
25-03-2020,425,237
26-03-2020,520,281
27-03-2020,434,336
28-03-2020,480,374
29-03-2020,532,412
30-03-2020,547,452
31-03-2020,738,480
01-04-2020,703,525
02-04-2020,719,563
03-04-2020,597,592
04-04-2020,428,615
05-04-2020,583,608
06-04-2020,451,615
07-04-2020,377,601
08-04-2020,338,550
09-04-2020,343,499
10-04-2020,359,445
11-04-2020,345,411
12-04-2020,552,399
13-04-2020,438,395
14-04-2020,399,393
15-04-2020,311,396
16-04-2020,296,392
17-04-2020,298,385
18-04-2020,291,377
19-04-2020,276,369
20-04-2020,299,329
21-04-2020,282,310
22-04-2020,225,293
23-04-2020,276,281
24-04-2020,248,278
25-04-2020,159,271
26-04-2020,83,252
27-04-2020,128,224
28-04-2020,159,200
29-04-2020,82,182
30-04-2020,142,162
01-05-2020,116,143
02-05-2020,57,124
03-05-2020,27,109
04-05-2020,53,101
05-05-2020,32,90
06-05-2020,65,72
07-05-2020,61,70
08-05-2020,33,58
09-05-2020,19,46
10-05-2020,29,41
11-05-2020,39,41
12-05-2020,23,39
13-05-2020,39,38
14-05-2020,22,34
15-05-2020,12,29
16-05-2020,5,26
17-05-2020,15,24
18-05-2020,27,22
19-05-2020,22,20
20-05-2020,15,20
21-05-2020,17,16
22-05-2020,19,16
23-05-2020,5,17
24-05-2020,13,17
25-05-2020,22,16
26-05-2020,50,16
27-05-2020,40,20
28-05-2020,77,23
29-05-2020,113,32
30-05-2020,29,45
31-05-2020,87,49
01-06-2020,100,59
02-06-2020,121,70
03-06-2020,97,81
04-06-2020,142,89
05-06-2020,127,98
06-06-2020,78,100
07-06-2020,140,107
08-06-2020,179,115
09-06-2020,173,126
10-06-2020,240,133
11-06-2020,191,154
12-06-2020,184,161
13-06-2020,149,169
14-06-2020,136,179
15-06-2020,198,178
16-06-2020,300,181
17-06-2020,271,199
18-06-2020,302,204
19-06-2020,310,220
20-06-2020,160,238
21-06-2020,173,239
22-06-2020,345,244
23-06-2020,452,265
24-06-2020,487,287
25-06-2020,516,318
26-06-2020,464,349
27-06-2020,398,371
28-06-2020,385,405
29-06-2020,757,435
30-06-2020,786,494
01-07-2020,971,541
02-07-2020,1148,611
03-07-2020,939,701
04-07-2020,821,769
05-07-2020,831,829
06-07-2020,1134,893
07-07-2020,1390,947
08-07-2020,1327,1033
09-07-2020,1525,1084
10-07-2020,1409,1138
11-07-2020,1168,1205
12-07-2020,1239,1254
13-07-2020,1720,1313
14-07-2020,1603,1396
15-07-2020,1877,1427
16-07-2020,1937,1505
17-07-2020,1605,1564
18-07-2020,1448,1592
19-07-2020,1016,1632
20-07-2020,1887,1600
21-07-2020,2006,1624
22-07-2020,2044,1682
23-07-2020,1989,1706
24-07-2020,1830,1713
25-07-2020,1112,1745
26-07-2020,1042,1697
27-07-2020,2048,1701
28-07-2020,2125,1724
29-07-2020,1954,1741
30-07-2020,1787,1728
31-07-2020,1362,1699
01-08-2020,625,1632
02-08-2020,708,1563
03-08-2020,1800,1515
04-08-2020,1729,1480
05-08-2020,1690,1423
06-08-2020,1677,1385
07-08-2020,1764,1370
08-08-2020,754,1427
09-08-2020,924,1446
10-08-2020,1704,1476
11-08-2020,1823,1463
12-08-2020,1622,1476
13-08-2020,1643,1466
14-08-2020,1388,1462
15-08-2020,757,1408
16-08-2020,1068,1408
17-08-2020,1650,1429
18-08-2020,1649,1421
19-08-2020,1641,1396
20-08-2020,1487,1399
21-08-2020,1493,1377
22-08-2020,711,1392
23-08-2020,965,1385
24-08-2020,1900,1370
25-08-2020,1956,1406
26-08-2020,1953,1450
27-08-2020,2071,1495
28-08-2020,1832,1578
29-08-2020,910,1626
30-08-2020,1101,1655
31-08-2020,2178,1674
01-09-2020,2253,1714
02-09-2020,3193,1756
03-09-2020,2661,1934
04-09-2020,2623,2018
05-09-2020,1505,2131
06-09-2020,2177,2216
07-09-2020,3388,2370
08-09-2020,3489,2542
09-09-2020,3994,2719
10-09-2020,4161,2833
11-09-2020,3975,3048
12-09-2020,2718,3241
13-09-2020,3175,3414
14-09-2020,4805,3557
15-09-2020,5540,3759
16-09-2020,4574,4052
17-09-2020,5385,4135
18-09-2020,5340,4310
19-09-2020,3809,4505
20-09-2020,2579,4661
21-09-2020,3866,4576
22-09-2020,7020,4441
23-09-2020,7125,4653
24-09-2020,8234,5017
25-09-2020,8389,5424
26-09-2020,5882,5860
27-09-2020,3414,6156
28-09-2020,1159,6275
29-09-2020,4992,5889
30-09-2020,9078,5599
01-10-2020,7730,5878
02-10-2020,7059,5806
03-10-2020,2594,5616
04-10-2020,2938,5146
05-10-2020,5721,5078
06-10-2020,4724,5730
07-10-2020,4164,5692
08-10-2020,3755,4990
09-10-2020,2963,4422
10-10-2020,916,3837
11-10-2020,1646,3597
12-10-2020,3169,3412
13-10-2020,2336,3048
14-10-2020,2118,2707
15-10-2020,1612,2414
16-10-2020,1500,2108
17-10-2020,412,1899
18-10-2020,924,1827
19-10-2020,1517,1724
20-10-2020,1193,1488
21-10-2020,1172,1325
22-10-2020,1032,1190
23-10-2020,849,1107
24-10-2020,246,1014
25-10-2020,606,990
26-10-2020,884,945
27-10-2020,887,854
28-10-2020,723,810
29-10-2020,644,746
30-10-2020,680,691
31-10-2020,228,667
