Political decisions ,
Date,Events 
3/12/2020,חברי כנסת ממפלגת הליכוד מונעים הקמה של ועדת שתפקח על היערכות הממשלה למגפה
3/27/2020,הממשלה לא הפעילה את ״הרשות העליונה לאשפוז״ שאמורה לנהל את מערכת הבריאות בזמן משבר
3/31/2020,ראש הממשלה מבטיח מציאת חיסון בקרוב
4/7/2020,הממשלה מקבלת החלטות בנוגע להתנהלות המגפה אך לא מעדכנת את ראשי הרשויות
4/8/2020,הוכרז על סגר כללי בישראל 
4/10/2020,ראש הממשלה ממנה את המטה לביטחון לאומי לניהול המשבר במקום את רח״ל (רשות חירום לאומית)
4/15/2020,ראש הממשלה מפרסם כתבה חיובית על התמודדותו עם הנגיף 
4/18/2020,ראש הממשלה מעכב את פתיחת המשק על אף הפסד של כ-10 מיליארד בשבוע
4/20/2020,הודעה על הקמת ממשלה משותפת של שתי מפלגות בשל המאבק בקורונה והצורך להעברת חוקים בנושא
4/24/2020,ביקורת ציבורית על חוסר ייצוג נשים וערבים במעגל קבלת ההחלטות
5/1/2020,חלוקת תיקי ממשל מופרחת ולא הגיונית
5/10/2020,משרד החינוך לא סיכם תוכנית העסקת מורים לתקופת המשבר. התלמידים נשלחו הביתה אבל המורים לא הוצאו לחל״ת
5/12/2020,עובדים סוציאליים יצאו לחל״ת ולא הועבר תקציב למקלטי נשים לנפגעות אלימות
6/1/2020,לאחר נזיפת בג״ץ על ייצוג לנשים במעגלי קבלת ההחלטות משנים את הרכב חברי ועדת הקורונה
6/8/2020,הממשלה מחליטה לא לחשוף לציבור את הפרוטוקולים של ישיבות הממשלה
6/18/2020,הציבור לא מביע אמון בפיתוח האפליקציה הישראלית ולא מתקין אותה – חוסר יכולת שיווק של הממשלה ליצירת שיתוף פעולה עם האזרחים
6/21/2020,שני שליש מהאזרחים נמצאו זכאים בערעור על חובת בידוד בשל איכוני שב״כ לא נכונים
6/23/2020,בשיא המגפה התקיים דיון על הטבות מס לראש הממשלה בסך של מיליון שקל
6/28/2020,ראש הממשלה מחליט על צמצום זמן הליך החקירה האפידמיולוגי
7/2/2020,צה״ל הגוף הגדול במדינה מתארגן לקבל פיקוד על המגפה ועזרה למשרד הבריאות - ראש ממשלת ישראל מסרב לצעד זה היות והגוף מנוהל על ידי יריבו הפוליטי.
7/3/2020,אי הסכמה בין ראשי המפלגות על הקלות הסגר השני
7/7/2020,התפטרות ראש שירותי בריאות הציבור 
7/8/2020,השרים מנחים לכבות מיזוג אוויר באוטובוסים
7/15/2020,ראש הממשלה מכריז על תוכנית מענקים על אף גירעון תקציב המדינה ובניגוד להמלצת משרד האוצר
7/16/2020,דוח של מרכז המידע והידע למערכה נגד הקורונה חושף כי הממשלה לא הקימה מערך חקירות אפידמיולוגי יעיל – מספר החוקרים בישראל נמוך מאוד ביחס למדינות אחרות - חוקר אחד ל300 אלף אזרחים
7/17/2020,הממשלה מודיעה על סגירת המסעדות תוך כמה שעות 
7/23/2020,"תוכנית הרמזור אושרה, אך התכנון שלה לא הושלם בשל ויכוחים בין שרי הממשלה"
7/26/2020,התפטרות החשב הכללי במשרד האוצר
7/27/2020,הממשלה ממנה פרויקט קורונה אך לא מקשיבה להמלצותיו
7/28/2020,ראש הממשלה מחליף חלק מחברי הועדה לביקורת המדינה לנציגים מהמפלגה שלו
8/5/2020,שר החינוך גלנט החרים ישיבה של ועדת הח
8/14/2020,דוח ועדת הכנסת לענייני ביקורת המדינה חושף כי משרד החינוך לא נוהל נכון בזמן המשבר ובלמידה מרחוק
8/24/2020,"אין הסכם על תקציב מדינתי דחייה על הוועדה ל23 בדצמבר, החלטה שהובילה להסתמך על המשך התקציב משנת 2019 לפני שהקורונה נכנסה לחיינו"
8/26/2020,ראש הממשלה אוסר טיסות לאומן ומיד אח״כ מבטל את החלטות בשל לחץ המפלגות החרדיות
9/1/2020,חמש שיבות ממשלה בוטלו בשל מאבקי כוח בתוך הממשלה 
9/3/2020,ראש הממשלה מתנער מקביעת הנחיות להתפללות בבתי כנסת בשל לחץ מצד המפלגות החרדיות
9/4/2020,התפטרות ראש אגב התקציבים 
9/8/2020,הממשלה יכולה לקצר משך הבידוד מ14 יום ל12 יום אבל לא עושה זאת כדי לחסוך בבדיקות
9/11/2020,ראש הממשלה מבקש להגדיל את תקציבו כדי לטוס במטוס פרטי לוושינגטון
9/12/2020,מערכת החינוך לא מקבלת הנחיות ריאליות לשמירה על ריחוק חברתי
9/14/2020,הממשלה מורה על החמרת הקנסות לאלה שמפרים הנחיות אך לא מגדירות את ההנחיות לציבור
9/17/2020,משלחת רה״מ שחזרה מוושינגטון לא חויבה בבידוד בניגוד להנחיות 
9/18/2020,סגר כללי בישראלי  
10/11/2020,התפטרות מנכ”לית משרד האוצר
10/22/2020,מונה ראש רשות החירום הלאומית רק לאחר שבעה חודשים למגפה
10/26/2020,משטרת ישראל סירבה להתייצב לדיון בוועדת ביקורת מדינה על אלימות משטרתית במגפה
